dioxolane,methanol,total_ch,cha,ssd,chx_d1,chx_d4,chx_d8,ssd_d1,ssd_d4,ssd_d8
72.5,27.5,3.000,30.0,0.625,80.864,4.903,3.229,9.45,2.12,1.25
72.5,27.5,3.000,30.0,0.625,82.656,4.957,3.034,6.20,1.59,1.18
72.5,27.5,3.000,30.0,0.625,77.787,4.655,2.922,5.22,2.03,1.00
85.0,15.0,2.560,30.5,1.000,76.343,4.718,2.543,18.76,6.49,2.84
85.0,15.0,1.855,28.0,0.250,57.873,3.195,2.082,3.92,0.67,0.26
85.0,15.0,5.000,50.0,0.685,111.002,9.479,4.778,14.03,3.50,1.29
60.0,40.0,1.000,29.2,0.250,45.856,3.289,1.691,1.45,0.20,0.18
85.0,15.0,1.000,50.0,0.475,42.778,3.161,1.901,4.55,2.06,0.75
60.0,40.0,5.000,29.0,1.000,79.923,9.064,5.229,8.03,2.32,1.51
63.6,36.4,5.000,10.0,0.250,67.508,10.788,7.215,5.25,0.81,0.50
85.0,15.0,2.920,50.0,1.000,82.857,8.694,6.856,12.02,5.81,3.11
71.3,28.7,2.800,50.0,0.250,92.569,8.497,4.120,4.77,0.63,0.20
60.0,40.0,2.560,10.0,0.929,54.972,9.411,3.594,11.84,3.65,1.87
85.0,15.0,5.000,10.0,0.760,79.106,10.829,7.524,8.25,2.30,1.33
72.5,27.5,3.000,30.0,0.625,73.958,4.781,2.328,7.89,1.51,1.10
83.1,16.9,5.000,43.2,0.250,140.274,14.689,8.393,5.66,1.74,1.07
71.4,28.6,1.000,10.0,0.505,23.254,2.493,1.214,11.06,2.00,0.62
65.8,34.2,1.960,10.0,0.480,48.522,2.630,1.970,3.65,0.68,0.35
85.0,15.0,1.000,10.0,1.000,38.574,3.358,1.735,13.22,4.78,1.56
85.0,15.0,4.660,10.0,0.250,57.938,5.968,4.235,4.24,0.69,0.32
74.0,26.0,1.300,39.6,0.250,60.991,5.350,2.365,1.71,0.11,0.09
69.4,30.6,5.000,50.0,1.000,168.139,20.274,6.737,16.11,6.81,2.80
60.0,40.0,5.000,30.6,0.475,90.022,5.910,3.946,13.07,1.64,0.84
60.0,40.0,2.800,50.0,0.496,89.069,6.646,2.479,3.22,0.39,0.29
69.6,30.4,1.000,30.0,0.929,41.345,3.392,1.888,8.48,2.03,0.90
72.1,27.9,5.000,10.0,1.000,63.824,3.285,2.550,17.30,5.48,1.79
60.0,40.0,1.000,50.0,1.000,35.801,2.131,1.348,18.65,3.94,0.75
60.0,40.0,2.560,10.0,0.929,51.458,5.464,3.159,7.17,2.54,1.50
60.0,40.0,5.000,30.6,0.475,89.529,8.123,2.914,13.87,1.30,0.72
72.5,27.5,3.000,30.0,0.625,88.113,4.916,2.008,4.79,1.12,0.79
85.0,15.0,1.540,10.0,0.250,37.504,1.863,1.800,1.46,0.24,-0.03
65.0,35.0,4.750,35.0,0.600,67.981,5.710,3.306,5.21,1.86,1.80
70.0,30.0,5.000,27.5,1.000,62.660,8.930,3.370,7.35,3.98,2.34
60.0,40.0,5.000,45.0,0.600,80.397,5.998,3.201,2.12,1.75,1.59
85.0,15.0,5.000,10.0,0.760,67.156,9.690,4.539,2.61,1.88,1.44
80.0,20.0,4.650,47.0,0.900,88.126,20.511,10.550,7.02,5.19,4.67
85.0,15.0,5.000,10.0,0.760,100.842,7.918,5.951,10.106,2.316,
75,25.0,4.750,30.0,0.600,97.971,6.809,6.553,9.51,2.572,
85,15.0,4.850,10.0,0.750,86.200,8.146,4.841,11.493,2.621,
61,39.0,4.800,12.0,0.250,82.361,6.702,6.515,9.276,1.056,
